title,tmdbId,rating,runtime,release_year
Back to the Future,105,3.969149469125229,116,1985
The Empire Strikes Back,1891,4.130351623678126,124,1980
Return of the Jedi,1892,3.9915550551143753,132,1983
Back to the Future Part II,165,3.5935330783397084,108,1989
Raiders of the Lost Ark,85,4.111893247092335,115,1981
Scarface,111,3.936380845185715,169,1983
E.T. the Extra-Terrestrial,601,3.7291240606135285,115,1982
Dead Poets Society,207,3.938424359594006,128,1989
Die Hard,562,3.9423089587952482,131,1988
Indiana Jones and the Last Crusade,89,3.9868645072304463,127,1989
Aliens,679,4.0072594346908295,137,1986
Indiana Jones and the Temple of Doom,87,3.6989315218133423,118,1984
Ghostbusters,620,3.7626545064938464,107,1984
Top Gun,744,3.419706664450723,110,1986
The Breakfast Club,2108,3.831558192052309,98,1985
The Little Mermaid,10144,3.535704315783597,83,1989
Batman,268,3.409919861816871,126,1989
Beetlejuice,4011,3.5164499007333587,92,1988
Gremlins,927,3.3125439459991566,106,1984
Rain Man,380,3.9013940632135555,134,1988
Dirty Dancing,88,3.270195578231292,100,1987
First Blood,1368,3.607259609965054,93,1982
Stand by Me,235,3.986662769028392,89,1986
The Goonies,9340,3.6540436896528123,114,1985
Who Framed Roger Rabbit,856,3.551884012416015,104,1988
The Untouchables,117,3.8749801891277915,119,1987
RoboCop,5548,3.392666884105241,102,1987
Ferris Bueller's Day Off,9377,3.908158418193154,103,1986
The Princess Bride,2493,4.119108972038248,99,1987
Lethal Weapon,941,3.6973185265438784,110,1987
Airplane!,813,3.806905678537058,88,1980
Rocky IV,1374,2.9076220009792717,91,1985
Coming to America,9602,3.5398999026831635,117,1988
Ghostbusters II,2978,3.050339199685379,108,1989
Raging Bull,1578,4.03785730707334,129,1980
Amadeus,279,4.072640678780116,161,1984
The Blues Brothers,525,3.801031656890886,133,1980
The Karate Kid,1885,3.3710084399199505,126,1984
Rocky III,1371,2.9883977900552487,99,1982
When Harry Met Sally...,639,3.8357210730209785,96,1989
Beverly Hills Cop,90,3.582032959019977,105,1984
The Evil Dead,764,3.6993997129061733,85,1981
Big,2280,3.620502998001333,104,1988
The Naked Gun: From the Files of Police Squad!,37136,3.636856500928007,86,1988
The Elephant Man,1955,3.912803115969344,124,1980
Lethal Weapon 2,942,3.3500066120074052,114,1989
The Fox and the Hound,10948,3.4669260700389115,82,1981
Blue Velvet,793,3.859343249613916,120,1986
Trading Places,1621,3.749876094498598,116,1983
Rambo III,1370,2.4787949015063737,102,1988
Escape from New York,1103,3.410572807576724,99,1981
"Honey, I Shrunk the Kids",9354,2.7360460045786557,93,1989
Evil Dead II,765,3.7923006695069987,84,1987
Big Trouble in Little China,6978,3.5201600948710348,99,1986
They Live,8337,3.6770713463751443,94,1988
Poltergeist,609,3.5179482667605146,114,1982
Spaceballs,957,3.4327202004219415,96,1987
Child's Play,10585,2.8821973233737936,87,1988
The Abyss,2756,3.67456738075396,140,1989
Dune,841,3.302482435597189,137,1984
Friday the 13th,4488,2.938619440531293,95,1980
Commando,10999,3.2631083202511775,90,1985
"Good Morning, Vietnam",801,3.6753269337785186,121,1987
Police Academy,9336,2.9990131115183987,97,1984
The Land Before Time,12144,3.379738562091503,69,1988
Conan the Barbarian,9387,3.2625407953583947,129,1982
Beverly Hills Cop II,96,3.1293313354560777,103,1987
Look Who's Talking,9494,2.6751352622912257,93,1989
The Running Man,865,3.2540915063911116,101,1987
National Lampoon's Christmas Vacation,5825,3.6210519271948596,97,1989
Tron,97,3.334627912803808,96,1982
Twins,9493,2.8675702561551852,107,1988
The King of Comedy,262,3.866737739872068,109,1982
The Karate Kid Part II,8856,2.6769029253383763,113,1986
Pet Sematary,8913,3.046562428144401,103,1989
Sixteen Candles,15144,3.6227172769863274,93,1984
Raising Arizona,378,3.86858566288403,94,1987
Wall Street,10673,3.7232017475425185,126,1987
Footloose,1788,3.1200474495848156,107,1984
Halloween II,11281,2.8819762122598345,92,1981
The Lost Boys,1547,3.581673592205187,97,1987
Christine,8769,3.1115170494084894,110,1983
Willow,847,3.4721052138912296,126,1988
Star Trek II: The Wrath of Khan,154,3.7068750000000015,113,1982
Halloween 4: The Return of Michael Myers,11357,2.46107544141252,88,1988
Tango & Cash,9618,2.8186941313641656,104,1989
"Planes, Trains and Automobiles",2609,3.6136415919024607,93,1987
The Blue Lagoon,5689,2.540645322661331,104,1980
A Nightmare on Elm Street Part 2: Freddy's Revenge,10014,2.493572778827977,87,1985
WarGames,860,3.679161658653846,114,1983
Bill & Ted's Excellent Adventure,1648,3.4056247118487795,90,1989
Bloodsport,11690,3.224460132890366,92,1988
Tootsie,9576,3.640703793027845,116,1982
Cobra,9874,2.5520547945205485,87,1986
Do the Right Thing,925,3.870329366177691,120,1989
A Nightmare on Elm Street 3: Dream Warriors,10072,2.826375404530745,96,1987
The Color Purple,873,3.738713868139006,154,1985
Born on the Fourth of July,2604,3.4292748433303504,145,1989
Clue,15196,3.5278211128445136,94,1985
Heathers,2640,3.754444444444444,103,1989
Over the Top,1825,2.51219512195122,93,1987
The Great Mouse Detective,9994,3.5025784271594325,74,1986
Mississippi Burning,1632,3.844503735325507,128,1988
Witness,9281,3.835225429776192,112,1985
Friday the 13th Part 2,9725,2.5590588235294116,86,1981
Oliver & Company,12233,3.3069383945239577,77,1988
Glory,9665,3.9573068734793178,122,1989
The Karate Kid Part III,10495,2.2166418650793642,112,1989
Driving Miss Daisy,403,3.6933207902163683,99,1989
National Lampoon's Vacation,11153,3.7581447075755596,99,1983
Police Academy 2: Their First Assignment,10157,2.466545170528509,87,1985
Conan the Destroyer,9610,2.886640557006092,103,1984
The Fog,790,3.097647581003107,89,1980
Scrooged,9647,3.462193407280113,101,1988
Star Trek IV: The Voyage Home,168,3.513849258821074,119,1986
Short Circuit,2605,3.243170015804923,98,1986
48 Hrs.,150,3.481409202958094,96,1982
Field of Dreams,2323,3.635027299454012,107,1989
Red Heat,9604,2.86764705882353,104,1988
Flashdance,535,2.97046057390885,95,1983
Re-Animator,1694,3.5220739219712516,86,1985
Cocktail,7520,2.8288419519300803,104,1988
Fatal Attraction,10998,3.4232492451543775,119,1987
Little Shop of Horrors,10776,3.3219404062274465,94,1986
This Is Spinal Tap,11031,4.007875025651549,82,1984
After Hours,10843,3.8423936869793947,97,1985
The Witches of Eastwick,6069,3.2144057118857625,118,1987
Out of Africa,606,3.6242537313432823,161,1985
Blow Out,11644,3.5952170062001776,108,1981
Kickboxer,10222,2.9646201873048903,97,1989
Weird Science,11814,3.2929285714285714,94,1985
Blood Simple,11368,3.9832225143033866,97,1984
A Nightmare on Elm Street 4: The Dream Master,10131,2.500947418285173,94,1988
Halloween III: Season of the Witch,10676,2.0933823529411764,98,1982
Star Trek III: The Search for Spock,157,3.2622729193071414,105,1984
Friday the 13th Part III,9728,2.2643916913946596,95,1982
An American Tail,4978,3.375259875259874,80,1986
Fright Night,11797,3.387362637362638,107,1985
Splash,2619,3.2168338907469347,111,1984
The Color of Money,11873,3.439090416892258,119,1986
The Outsiders,227,3.5905274206245084,91,1983
Turner & Hooch,6951,2.9050880626223083,100,1989
Manhunter,11454,3.593684650773735,120,1986
Friday the 13th: The Final Chapter,9730,2.366794136392607,91,1984
Cocoon,10328,3.2972142918937624,117,1985
Risky Business,9346,3.4980037706554277,98,1983
Jaws 3-D,17692,1.865053513261982,99,1983
The Black Cauldron,10957,3.2048387096774205,80,1985
Innerspace,2614,3.2810994616038536,120,1987
A Nightmare on Elm Street: The Dream Child,10160,2.289350497366881,89,1989
Fast Times at Ridgemont High,13342,3.654574132492112,90,1982
Police Academy 3: Back in Training,12118,2.2442907687359277,84,1986
Day of the Dead,8408,3.5655823714585506,100,1985
The 'Burbs,11974,3.125574272588056,102,1989
Lock Up,9972,2.841428571428571,115,1989
Star Trek V: The Final Frontier,172,2.850307503075032,106,1989
Halloween 5: The Revenge of Michael Myers,11361,2.2436123348017625,97,1989
Uncle Buck,2616,3.3542944785276076,100,1989
Police Academy 4: Citizens on Patrol,10587,2.12670209232813,88,1987
Caddyshack,11977,3.6698618935126293,98,1980
Ladyhawke,526,3.5679970436067996,121,1985
Friday the 13th Part VI: Jason Lives,10225,2.277967257844475,86,1986
The Jewel of the Nile,10303,3.1471153846153848,106,1985
Teen Wolf,11824,2.843917112299465,91,1985
The Money Pit,10466,2.896727531420441,91,1986
The War of the Roses,249,3.1807228915662655,116,1989
Pretty in Pink,11522,3.3747523526498258,97,1986
Friday the 13th: A New Beginning,9731,2.0797636632200884,92,1985
An Officer and a Gentleman,2623,3.5105651105651106,124,1982
The Golden Child,10136,2.899198167239404,94,1986
Airplane II: The Sequel,2665,3.0808868815438304,85,1982
Road House,10135,2.90506329113924,114,1989
Black Rain,4105,3.1161651504548638,125,1989
Midnight Run,9013,3.8038395904436855,126,1988
Pale Rider,8879,3.724470439456213,115,1985
Cocoon: The Return,11285,2.495247623811906,116,1988
Jaws: The Revenge,580,1.8606965174129353,89,1987
Weekend at Bernie's,8491,2.804567180031864,97,1989
Heartbreak Ridge,10015,3.289234760051881,130,1986
Friday the 13th Part VIII: Jason Takes Manhattan,10283,1.8548387096774193,100,1989
Howard the Duck,10658,2.1446150097465893,110,1986
The Purple Rose of Cairo,10849,3.6917301658449126,82,1985
Friday the 13th Part VII: The New Blood,10281,2.0884462151394425,88,1988
Hannah and Her Sisters,5143,3.9286616161616164,107,1986
3 Men and a Baby,12154,2.868421052631579,102,1987
Creepshow,16281,3.2506184291898585,120,1982
Cujo,10489,2.7775573192239857,93,1983
Children of the Corn,10823,2.675282437521397,92,1984
Say Anything...,2028,3.844549527127924,100,1989
Nine 1/2 Weeks,10068,3.0010526315789474,117,1986
K-9,10345,2.650657229524773,101,1989
Enemy Mine,11864,3.4983723958333335,108,1985
"See No Evil, Hear No Evil",11185,3.2381386861313866,103,1989
Prince of Darkness,8852,3.3020504731861196,101,1987
¡Three Amigos!,8388,3.1275857376156777,103,1986
Critters,3980,2.810756972111554,86,1986
Working Girl,3525,3.3545878693623647,114,1988
Killer Klowns from Outer Space,16296,2.9899267399267395,88,1988
2010,4437,3.3949283115771443,116,1984
Young Guns,11967,3.2854558107167713,107,1988
Moonstruck,2039,3.649550786124284,102,1987
Police Academy 5: Assignment Miami Beach,11825,1.9534235668789806,90,1988
Stripes,10890,3.654062838569881,106,1981
Masters of the Universe,11649,2.4022012578616354,106,1987
Sudden Impact,10650,3.230434782608696,117,1983
Dressed to Kill,11033,3.4523809523809526,105,1980
The Hitcher,9542,3.4924026590693256,98,1986
"sex, lies, and videotape",1412,3.546467648250708,101,1989
Casualties of War,10142,3.369909502262444,113,1989
Crimes and Misdemeanors,11562,4.004516806722689,104,1989
Zelig,11030,3.766074709124311,79,1983
The Right Stuff,9549,3.9386038687973093,193,1983
The Blob,9599,2.8874883286647997,95,1988
National Lampoon's European Vacation,11418,2.9819615179048635,95,1985
Police Academy 6: City Under Siege,11895,1.8466006884681587,84,1989
Overboard,10780,3.3542894564505565,112,1987
Dirty Rotten Scoundrels,10141,3.6878381085954723,110,1988
Starman,9663,3.4110443108439106,115,1984
The Texas Chainsaw Massacre 2,16337,2.4659514925373127,101,1986
The Dead Pool,10651,3.1534526854219953,91,1988
Flight of the Navigator,10122,3.4195299982196903,90,1986
The Secret of NIMH,11704,3.7263424708974835,82,1982
History of the World: Part I,10156,3.593674211802748,92,1981
Pee-wee's Big Adventure,5683,3.2929753984217847,91,1985
Red Dawn,1880,3.2039393939393945,114,1984
Body Double,11507,3.392361111111111,114,1984
Major League,9942,3.487279394911757,107,1989
Clash of the Titans,10323,3.297758532857871,118,1981
The Howling,11298,3.2177708146821846,91,1981
Terms of Endearment,11050,3.6328153903070666,132,1983
Maximum Overdrive,9980,2.387837837837838,97,1986
Near Dark,11879,3.5902043692741366,94,1987
Revenge of the Nerds,14052,3.176769025367156,90,1984
Twilight Zone: The Movie,15301,3.262848751835536,101,1983
Annie,15739,3.1959485043544102,127,1982
Mannequin,10019,2.676950535441102,89,1987
Silverado,11509,3.661985630306989,133,1985
Grease 2,9037,1.9730578080041852,115,1982
Cyborg,10134,2.337260677466863,86,1989
La Bamba,16620,3.257176470588236,108,1987
Harry and the Hendersons,8989,2.7137916126242967,110,1987
*batteries not included,11548,3.256972111553784,106,1987
Henry: Portrait of a Serial Killer,10692,3.4017671517671513,83,1986
The Last Starfighter,11884,3.420929018789144,101,1984
Firestarter,11495,2.989852398523985,114,1984
Can't Buy Me Love,12919,3.2736085053158233,94,1987
Rumble Fish,232,3.627147766323024,94,1983
Koyaanisqatsi,11314,3.9710695499707764,86,1983
No Way Out,10083,3.7480672268907567,114,1987
Steel Magnolias,10860,3.5431409907457807,119,1989
Fletch,9749,3.462408180901628,98,1985
Sleepaway Camp,13567,3.0376712328767126,85,1983
Adventures in Babysitting,14367,3.2503949447077405,102,1987
Bachelor Party,12309,3.0670849420849415,105,1984
Poltergeist II: The Other Side,11133,2.5124167171411265,91,1986
Altered States,11542,3.473737888832228,102,1980
Parenthood,1552,3.5752073732718896,124,1989
Roxanne,11584,3.46041454298335,107,1987
Thief,11524,3.676245210727969,123,1981
The Secret of My Success,10021,3.12751677852349,111,1987
Psycho II,10576,2.575294117647059,113,1983
American Gigolo,2768,3.0658761528326743,117,1980
